name, count, mean, std, min, 25%, 50%, 75%, max
class, 178.0, 1.94, 0.78, 1.0, 1.0, 2.0, 3.0, 3.0
alcohol, 178.0, 13.0, 0.81, 11.03, 12.36, 13.05, 13.68, 14.83
acid, 178.0, 2.34, 1.12, 0.74, 1.6, 1.87, 3.08, 5.8
ash, 178.0, 2.37, 0.27, 1.36, 2.21, 2.36, 2.56, 3.23
alcalinity, 178.0, 19.49, 3.34, 10.6, 17.2, 19.5, 21.5, 30.0
magnesium, 178.0, 99.74, 14.28, 70.0, 88.0, 98.0, 107.0, 162.0
phenols, 178.0, 2.3, 0.63, 0.98, 1.74, 2.36, 2.8, 3.88
flavanoids, 178.0, 2.03, 1.0, 0.34, 1.2, 2.13, 2.88, 5.08
nonflavanoid, 178.0, 0.36, 0.12, 0.13, 0.27, 0.34, 0.44, 0.66
proanthocyanins, 178.0, 1.59, 0.57, 0.41, 1.25, 1.56, 1.95, 3.58
color, 178.0, 5.06, 2.32, 1.28, 3.22, 4.69, 6.2, 13.0
hue, 178.0, 0.96, 0.23, 0.48, 0.78, 0.96, 1.12, 1.71
dilutedWines, 178.0, 2.61, 0.71, 1.27, 1.94, 2.78, 3.17, 4.0
proline, 178.0, 746.89, 314.91, 278.0, 500.5, 673.5, 985.0, 1680.0
